"","achi_1m","sepa_1m","self_1m","impu_1m","atta_1m","mani_1m","perf_1m","subm_1m","orde_1m","pers_1m","anxi_2m","achi_2m","sepa_2m","self_2m","diso_2m","stre_2m","labi_2m","resi_2m","expr_2m","with_2m","shyn_2m","irri_3m","acti_3m","achi_3m","dist_3m","depe_3m","empa_3m","atta_3m","risk_3m","diso_3m","labi_3m","depr_3m","naiv_3m","subm_3m","with_3m","aggr_3m","anxi_4m","para_4m","domi_3m","sepa_4m","self_4m","depe_4m","impu_4m","empa_4m","risk_4m","diso_4m","stre_4m","mani_4m","resi_4m","avoi_4m","flex_4m","rumi_4m","perf_4m","naiv_4m","gran_4m","with_4m","orde_4m","pers_4m","obse_4m","para_5m","acti_5m","achi_5m","narc_5m","self_5m","depe_5m","impu_5m","empa_5m","risk_5m","labi_5m","depr_5m","rumi_5m","gran_5m","aggr_5m","shyn_5m","para_6m","acti_6m","domi_5m","narc_6m","dist_6m","atta_6m","stre_6m","flex_6m","perf_6m","expr_6m","with_6m","orde_6m","dayd_1m","dayd_2m","oddt_2m","fant_1m","fant_3m","sens_2m","oddt_3m","fant_5m","sens_3m","dayd_4m","sens_4m","oddt_6m"
"1",1,2,5,3,NA,1,5,1,NA,3,3,4,3,5,3,5,5,3,1,3,4,5,4,1,2,4,1,1,1,2,3,4,1,1,1,3,4,2,1,3,4,3,1,2,1,2,4,1,1,3,4,1,1,1,1,3,1,4,1,2,4,1,1,4,2,1,1,1,3,4,4,1,4,4,1,4,1,1,2,5,4,5,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",4,2,2,1,3,2,2,1,NA,2,3,5,2,5,2,4,4,2,2,3,1,4,1,4,2,4,2,3,2,2,3,2,3,3,2,2,3,2,3,2,4,2,2,2,1,1,3,3,1,1,3,1,4,2,1,3,2,3,2,2,3,3,1,4,3,3,1,1,1,1,3,2,3,1,1,3,3,2,2,2,3,3,4,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2,1,1,2,2,1,1,2,NA,1,1,2,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,1,3,2,3,1,3,2,1,1,1,3,1,3,3,2,2,1,1,4,1,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,1,1,2,1,3,1,1,2,1,1,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",4,1,2,2,2,1,NA,1,2,1,2,2,1,2,1,1,2,1,1,4,2,2,1,2,1,1,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,3,2,2,1,1,2,2,1,2,1,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,1,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",5,1,2,3,2,1,1,4,1,1,1,5,1,1,1,2,3,2,3,3,1,4,1,5,1,2,2,2,2,1,3,1,2,1,2,4,2,2,3,1,2,2,2,2,2,3,2,2,2,3,3,1,5,2,4,3,4,2,1,1,2,4,3,2,2,2,1,1,3,1,2,4,3,2,1,3,4,3,1,1,2,3,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1,1,1,4,4,1,1,1,1,2,1,1,1,1,5,4,4,2,2,1,1,2,3,1,1,2,1,2,4,5,4,1,2,1,3,3,1,1,1,1,1,2,3,1,3,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,3,1,3,3,2,2,1,3,1,1,1,2,2,2,2,4,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,2,3,1,1,1,1,1,1,1,1,1,2,1,1,3,1,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1,1,2,1,1,1,1,2,1,2,1,1,1,3,3,2,1,1,1,3,1,1,2,1,2,3,1,3,2,3,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1,1,2,3,5,1,1,1,1,3,1,1,1,4,5,5,3,1,1,1,1,1,5,1,5,2,1,3,1,4,3,1,3,2,1,5,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,1,1,1,1,1,3,1,1,4,1,1,5,1,3,1,1,1,2,3,1,3,1,1,5,1,1,5,2,5,1,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1,1,1,2,1,1,1,1,1,1,1,1,1,3,4,3,1,1,1,3,1,4,4,1,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,4,1,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,2,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1,1,2,1,1,1,1,1,1,3,1,1,2,2,2,4,2,1,1,2,1,4,3,1,2,1,2,1,1,2,2,1,1,1,2,3,1,1,1,3,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,3,1,3,1,3,1,1,3,1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1,1,3,2,1,2,1,2,1,3,1,1,1,3,5,3,1,1,1,2,1,3,4,1,4,1,1,2,1,4,1,1,4,3,3,1,1,1,1,3,4,1,1,1,1,4,3,1,1,1,2,1,1,2,1,4,1,4,1,1,4,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1,2,2,3,3,3,1,2,1,3,2,1,1,3,4,3,3,1,1,2,1,3,1,1,3,2,1,2,1,3,2,2,3,2,3,1,2,1,1,1,3,1,2,2,1,2,2,1,1,2,1,1,1,3,1,3,1,3,1,2,1,1,1,2,2,3,1,1,2,2,2,1,2,2,2,1,1,1,3,1,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1,4,4,2,2,2,1,4,1,1,1,1,3,3,3,1,1,1,1,5,1,1,1,1,2,3,1,3,1,3,1,1,4,3,4,1,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,4,1,1,1,2,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1,1,1,2,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,3,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1,2,1,2,1,1,2,1,1,2,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,2,3,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1,1,1,2,3,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1,1,1,4,1,1,1,2,1,4,1,1,1,1,2,5,1,2,1,1,1,1,1,1,1,1,1,4,3,1,1,1,5,3,2,2,1,1,1,1,1,1,4,2,1,1,1,1,1,1,4,1,1,3,1,2,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,3,3,1,1,1,1,2,1,1,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1,3,2,5,2,1,1,3,1,1,1,1,3,1,2,2,3,1,1,2,1,3,1,1,2,1,1,2,1,2,2,1,3,2,2,1,2,1,1,2,2,2,2,1,1,2,4,1,2,1,3,1,1,2,1,3,1,1,1,1,2,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1,2,2,1,2,1,1,2,1,1,1,1,2,4,4,4,2,1,1,4,2,1,2,1,1,1,2,4,1,1,3,1,3,1,5,1,1,1,1,3,4,3,1,2,1,2,1,1,1,3,1,1,1,2,1,4,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1,4,3,5,2,5,1,4,1,5,1,1,3,2,1,1,1,3,2,1,3,1,NA,1,2,3,1,3,2,5,1,1,4,4,1,4,1,1,2,4,4,3,4,1,2,2,2,1,5,1,1,1,1,4,1,1,1,4,1,1,1,1,4,3,2,5,1,1,1,1,1,3,4,2,1,3,4,5,4,3,2,1,1,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2,1,2,2,2,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2,1,2,1,2,1,1,1,1,1,1,1,1,2,3,2,4,1,2,1,1,3,3,2,1,1,1,1,2,3,1,1,2,1,1,3,1,1,2,1,1,1,2,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,3,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1,1,1,2,3,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,2,1,2,1,2,1,1,2,4,1,1,3,1,1,3,1,1,3,2,3,2,1,1,1,5,1,1,2,1,1,1,1,4,3,1,1,2,1,1,1,1,2,1,3,1,1,1,1,1,1,4,2,1,1,1,1,3,1,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2,2,1,1,2,1,2,1,1,1,2,1,2,2,3,1,1,2,1,1,1,1,3,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1,1,1,2,3,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,3,4,1,2,1,1,1,3,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,1,1,2,1,1,1,1,2,1,1,3,2,1,2,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1,1,1,1,2,1,1,2,1,2,2,1,1,2,2,2,3,1,1,2,1,2,1,1,2,1,1,1,1,2,2,1,2,1,2,2,1,1,3,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,3,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",3,3,2,1,3,3,1,1,1,2,2,1,2,2,3,1,1,2,2,1,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,2,1,1,3,2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1,2,3,1,2,1,1,3,1,1,3,1,1,3,3,3,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,3,2,2,1,2,1,1,3,3,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1,1,1,1,3,1,1,1,1,1,1,1,1,1,5,4,2,1,1,2,1,1,1,1,1,1,1,2,2,5,1,1,1,1,2,3,1,1,1,1,1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,3,1,1,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1,1,3,3,2,1,3,1,1,2,1,1,1,2,3,2,1,2,4,1,1,4,4,1,3,3,1,3,1,4,1,1,3,3,1,3,3,1,1,1,3,3,1,2,1,5,2,2,3,1,2,1,1,3,1,1,1,1,1,1,4,1,1,3,2,3,1,1,1,1,2,1,3,1,1,4,2,1,2,1,4,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1,1,3,2,1,1,1,2,1,2,1,1,1,5,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,2,4,2,1,1,1,1,5,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,1,4,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,3,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,3,1,3,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2,1,3,2,1,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",1,2,2,3,5,2,3,1,1,5,3,1,1,2,5,2,2,2,1,3,1,1,1,1,1,2,1,3,1,3,2,1,2,1,3,1,1,1,1,2,1,2,1,1,1,5,1,3,3,1,3,1,1,1,1,3,1,1,1,1,1,1,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1,1,3,1,3,1,1,1,2,2,2,2,1,3,3,3,3,1,1,4,2,2,1,1,1,1,1,1,1,2,2,1,2,2,3,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1,1,1,1,1,2,1,1,1,4,2,2,1,3,5,3,5,2,1,5,2,5,2,1,2,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,3,3,1,1,1,1,2,1,1,1,3,1,3,1,1,2,1,1,2,2,2,1,1,2,3,2,1,3,1,1,1,2,3,3,2,2,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1,1,3,4,2,1,3,2,1,1,1,1,1,3,1,1,3,1,1,4,1,3,1,1,1,2,3,3,1,1,3,4,3,1,1,3,1,1,1,1,4,1,2,3,2,1,3,1,1,1,4,1,1,1,1,1,1,4,3,1,1,1,4,3,1,3,2,1,3,4,1,1,1,1,1,1,4,4,4,1,2,1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
